"Date","Price","Open","High","Low","Change %"
"04/05/2023","100.45","100.45","100.45","100.45","0.11%"
"04/04/2023","100.34","100.34","100.34","100.34","0.32%"
"04/03/2023","100.02","100.02","100.02","100.02","0.31%"
"03/31/2023","99.72","99.72","99.72","99.72","0.61%"
"03/30/2023","99.11","99.11","99.11","99.11","0.14%"
"03/29/2023","98.97","98.97","98.97","98.97","0.36%"
"03/28/2023","98.62","98.62","98.62","98.62","0.13%"
"03/27/2023","98.48","98.48","98.48","98.48","-1.06%"
"03/24/2023","99.54","99.54","99.54","99.54","-0.03%"
"03/23/2023","99.57","99.57","99.57","99.57","0.37%"
"03/22/2023","99.20","99.20","99.20","99.20","1.50%"
"03/21/2023","97.73","97.73","97.73","97.73","-0.33%"
"03/20/2023","98.06","98.06","98.06","98.06","0.12%"
"03/17/2023","97.95","97.95","97.95","97.95","0.14%"
"03/16/2023","97.81","97.81","97.81","97.81","-1.59%"
"03/15/2023","99.39","99.39","99.39","99.39","1.92%"
"03/14/2023","97.52","97.52","97.52","97.52","-0.87%"
"03/13/2023","98.37","98.37","98.37","98.37","1.13%"
"03/10/2023","97.27","97.27","97.27","97.27","1.79%"
"03/09/2023","95.55","95.55","95.55","95.55","0.50%"
"03/08/2023","95.08","95.08","95.08","95.08","-0.78%"
"03/07/2023","95.83","95.83","95.83","95.83","-0.93%"
"03/06/2023","96.73","96.73","96.73","96.73","-0.31%"
"03/03/2023","97.03","97.03","97.03","97.03","1.25%"
"03/02/2023","95.84","95.84","95.84","95.84","-0.15%"
"03/01/2023","95.98","95.98","95.98","95.98","-0.05%"
"02/28/2023","96.03","96.03","96.03","96.03","-0.04%"
"02/27/2023","96.07","96.07","96.07","96.07","0.21%"
"02/24/2023","95.87","95.87","95.87","95.87","-0.77%"
"02/23/2023","96.61","96.61","96.61","96.61","0.29%"
"02/22/2023","96.33","96.33","96.33","96.33","0.06%"
"02/21/2023","96.27","96.27","96.27","96.27","-0.72%"
"02/17/2023","96.96","96.96","96.96","96.96","0.33%"
"02/16/2023","96.64","96.64","96.64","96.64","-0.28%"
"02/15/2023","96.91","96.91","96.91","96.91","-0.14%"
"02/14/2023","97.05","97.05","97.05","97.05","-0.50%"
"02/13/2023","97.54","97.54","97.54","97.54","0.20%"
"02/10/2023","97.34","97.34","97.34","97.34","-0.71%"
"02/09/2023","98.04","98.04","98.04","98.04","-0.69%"
"02/08/2023","98.72","98.72","98.72","98.72","0.94%"
"02/07/2023","97.80","97.80","97.80","97.80","0.18%"
"02/06/2023","97.62","97.62","97.62","97.62","-0.83%"
"02/03/2023","98.44","98.44","98.44","98.44","-1.20%"
"02/02/2023","99.63","99.63","99.63","99.63","-0.04%"
"02/01/2023","99.67","99.67","99.67","99.67","1.03%"
"01/31/2023","98.66","98.66","98.66","98.66","-0.09%"
"01/30/2023","98.75","98.75","98.75","98.75","-0.61%"
"01/27/2023","99.35","99.35","99.35","99.35","-0.19%"
"01/26/2023","99.54","99.54","99.54","99.54","-0.15%"
"01/25/2023","99.69","99.69","99.69","99.69","0.16%"
"01/24/2023","99.53","99.53","99.53","99.53","0.79%"
"01/23/2023","98.75","98.75","98.75","98.75","-0.13%"
"01/20/2023","98.88","98.88","98.88","98.88","3.90%"
"01/19/2023","95.16","95.16","95.16","95.16","0.79%"
"01/18/2023","94.41","94.41","94.41","94.41","1.23%"
"01/17/2023","93.27","93.27","93.27","93.27","-0.69%"
"01/13/2023","93.91","93.91","93.91","93.91","-0.64%"
"01/12/2023","94.52","94.52","94.52","94.52","0.75%"
"01/11/2023","93.81","93.81","93.81","93.81","0.63%"
"01/10/2023","93.23","93.23","93.23","93.23","-0.69%"
"01/09/2023","93.88","93.88","93.88","93.88","0.37%"
"01/06/2023","93.53","93.53","93.53","93.53","1.39%"
"01/05/2023","92.25","92.25","92.25","92.25","-0.10%"
"01/04/2023","92.34","92.34","92.34","92.34","0.13%"
"01/03/2023","92.23","92.23","92.23","92.23","0.75%"
"12/30/2022","91.54","91.54","91.54","91.54","-0.37%"
"12/29/2022","91.88","91.88","91.88","91.88","0.65%"
"12/28/2022","91.28","91.28","91.28","91.28","-0.23%"
"12/27/2022","91.49","91.49","91.49","91.49","-0.35%"
"12/23/2022","91.81","91.81","91.81","91.81","-0.50%"
"12/22/2022","92.27","92.27","92.27","92.27","-0.93%"
"12/21/2022","93.14","93.14","93.14","93.14","0.55%"
"12/20/2022","92.63","92.63","92.63","92.63","-0.16%"
"12/19/2022","92.78","92.78","92.78","92.78","-0.65%"
"12/16/2022","93.39","93.39","93.39","93.39","-0.64%"
"12/15/2022","93.99","93.99","93.99","93.99","0.03%"
"12/14/2022","93.96","93.96","93.96","93.96","-0.33%"
"12/13/2022","94.27","94.27","94.27","94.27","0.77%"
"12/12/2022","93.55","93.55","93.55","93.55","-0.20%"
