Date,resid
2007-07-23,-0.8213235587394943
2007-07-24,-0.7787260774391975
2007-07-25,-0.7165682046940143
2007-07-26,-0.6635743529051796
2007-07-27,-0.6201960162420298
2007-07-30,-0.5625452004273515
2007-07-31,-0.5202039648663552
2007-08-01,-0.4933229141370269
2007-08-02,-0.46534406768386316
2007-08-03,-0.4368937625757996
2007-08-06,-0.38557513270401333
2007-08-07,-0.32947114394106936
2007-08-08,-0.26981726604150436
2007-08-09,-0.22034827876031104
2007-08-10,-0.18991425865139522
2007-08-13,-0.1515104020166813
2007-08-14,-0.12680723665243565
2007-08-15,-0.10883998035255765
2007-08-16,-0.10515143611051403
2007-08-17,-0.07772851466581138
2007-08-20,-0.041304822522541806
2007-08-21,0.0014678446199807293
2007-08-22,0.03789602888019039
2007-08-23,0.07493245980072238
2007-08-24,0.1147893934606819
2007-08-27,0.1379418396583717
2007-08-28,0.15690354008167337
2007-08-29,0.18249280008127283
2007-08-30,0.22026534313667134
2007-08-31,0.26319433867232384
2007-09-04,0.31331265159784216
2007-09-05,0.355992394891184
2007-09-06,0.40229482246526305
2007-09-07,0.43285276592895544
2007-09-10,0.4544007230815582
2007-09-11,0.4713012606434792
2007-09-12,0.48650746209001655
2007-09-13,0.504192675446835
2007-09-14,0.5125979231626779
2007-09-17,0.5240729884427962
2007-09-18,0.5470908595816838
2007-09-19,0.569461747011383
2007-09-20,0.5931250601127627
2007-09-21,0.6251422130107831
2007-09-24,0.6740986741012545
2007-09-25,0.7348056546912908
2007-09-26,0.7952906536592551
2007-09-27,0.8609521788119667
2007-09-28,0.9300252903037491
2007-10-01,1.0011233501959653
2007-10-02,1.059510769203317
2007-10-03,1.1082475707830663
2007-10-04,1.1567978920433961
2007-10-05,1.2080812348572108
2007-10-08,1.2656878489877468
2007-10-09,1.340240424158499
2007-10-10,1.4152352431363495
2007-10-11,1.478119276275942
2007-10-12,1.5314619429155638
2007-10-15,1.5768888076480296
2007-10-16,1.6238211024876792
2007-10-17,1.6656225901274408
2007-10-18,1.7133998077144006
2007-10-19,1.76169557323105
2007-10-22,1.8109882985846395
2007-10-23,1.876606128723009
2007-10-24,1.9311218460062445
2007-10-25,1.9648269752123693
2007-10-26,2.0071393273415508
2007-10-29,2.047732305253115
2007-10-30,2.083060688396242
2007-10-31,2.1218188055396245
2007-11-01,2.1556426669869886
2007-11-02,2.1979604006929017
2007-11-05,2.237981385897321
2007-11-06,2.27017534620604
2007-11-07,2.2906387558215573
2007-11-08,2.295339312704867
2007-11-09,2.2788341749807635
2007-11-12,2.2575843057265734
2007-11-13,2.257010992418211
2007-11-14,2.246670606205608
2007-11-15,2.2384619294705916
2007-11-16,2.245608665214333
2007-11-19,2.2474536172298643
2007-11-20,2.231998165305578
2007-11-21,2.219926438024071
2007-11-23,2.2144569229015403
2007-11-26,2.203075770364837
2007-11-27,2.1993393470360787
2007-11-28,2.223513564896012
2007-11-29,2.235741731824588
2007-11-30,2.250706647935062
2007-12-03,2.2653616567239214
2007-12-04,2.283326910408065
2007-12-05,2.3082803874477342
2007-12-06,2.3379360695947136
2007-12-07,2.378338476912386
2007-12-10,2.4326332140961946
2007-12-11,2.478474554630652
2007-12-12,2.5244462809971986
2007-12-13,2.567453373335225
2007-12-14,2.6106293914050656
2007-12-17,2.64174580982156
2007-12-18,2.6675668021124017
2007-12-19,2.689537326809266
2007-12-20,2.712540333589761
2007-12-21,2.733518183463274
2007-12-24,2.770324234407882
2007-12-26,2.801679129642639
2007-12-27,2.8312641760176414
2007-12-28,2.8608099921656733
2007-12-31,2.877167585594548
2008-01-02,2.8881277011627686
2008-01-03,2.9035493511295343
2008-01-04,2.904919527674908
2008-01-07,2.9143484390808787
2008-01-08,2.907228704816788
2008-01-09,2.9071530021668828
2008-01-10,2.903400013387587
2008-01-11,2.900468981176992
2008-01-14,2.90570291457578
2008-01-15,2.89788003488993
2008-01-16,2.8743882565010077
2008-01-17,2.8426875561482805
2008-01-18,2.81294284374644
2008-01-22,2.782502906279538
2008-01-23,2.7528548250710463
2008-01-24,2.7361507928447457
2008-01-25,2.7118392328546195
2008-01-28,2.693900021132703
2008-01-29,2.686944320639557
2008-01-30,2.670079896988132
2008-01-31,2.655474956387987
2008-02-01,2.651752416200569
2008-02-04,2.647041284800957
2008-02-05,2.6345421032706784
2008-02-06,2.6100914658095804
2008-02-07,2.5760648626393263
2008-02-08,2.55627730981906
2008-02-11,2.5452975082394014
2008-02-12,2.526869549215064
2008-02-13,2.510565033827938
2008-02-14,2.4955490453567117
2008-02-15,2.486719928622147
2008-02-19,2.4833677372532543
2008-02-20,2.4742946611870047
2008-02-21,2.4632970995682606
2008-02-22,2.4480439821457303
2008-02-25,2.438772771419594
2008-02-26,2.4129874584428754
2008-02-27,2.3882574641567094
2008-02-28,2.3551531376326658
2008-02-29,2.311114691393231
2008-03-03,2.2650848828746604
2008-03-04,2.220161424449012
2008-03-05,2.1769391375177287
2008-03-06,2.123676777812831
2008-03-07,2.0639509519580557
2008-03-10,2.0005797560703544
2008-03-11,2.0043723531565965
2008-03-12,1.9598649414920852
2008-03-13,1.9086505251113781
2008-03-14,1.849989865617002
2008-03-17,1.7860982421015832
2008-03-18,1.7473535861768683
2008-03-19,1.7005139259409923
2008-03-20,1.6668083419972506
2008-03-24,1.6432421312071188
2008-03-25,1.6203342331055577
2008-03-26,1.5896554387378692
2008-03-27,1.5473496206969446
2008-03-28,1.5016004576390336
2008-03-31,1.4669208245142253
2008-04-01,1.4561711522338938
