Date,resid
2007-11-26,-1.7021807514960727
2007-11-27,-1.6927151982098376
2007-11-28,-1.714075523308282
2007-11-29,-1.7319285001023643
2007-11-30,-1.7709490859281969
2007-12-03,-1.8100929041378007
2007-12-04,-1.858463347285817
2007-12-05,-1.9141605366330192
2007-12-06,-1.9405031810663753
2007-12-07,-1.9820303933826193
2007-12-10,-2.029847436971127
2007-12-11,-2.055664227139752
2007-12-12,-2.0401128231186534
2007-12-13,-2.035438580003963
2007-12-14,-2.051343817053498
2007-12-17,-2.070409945577099
2007-12-18,-2.088405355241499
2007-12-19,-2.1066229833260803
2007-12-20,-2.1342084580894363
2007-12-21,-2.1402697173787057
2007-12-24,-2.1368570331808083
2007-12-26,-2.1167126058168075
2007-12-27,-2.0942151534600097
2007-12-28,-2.0831694724136227
2007-12-31,-2.0735525954008893
2008-01-02,-2.028727632384367
2008-01-03,-1.983672838642069
2008-01-04,-1.9575836466222265
2008-01-07,-1.957653640691316
2008-01-08,-1.9490355408643956
2008-01-09,-1.9498677218307834
2008-01-10,-1.9750130122936054
2008-01-11,-2.00496917299297
2008-01-14,-2.0185904227421916
2008-01-15,-2.053569459532917
2008-01-16,-2.098895600916718
2008-01-17,-2.1480148216187054
2008-01-18,-2.1909702132801607
2008-01-22,-2.2466271069139663
2008-01-23,-2.3297100535718784
2008-01-24,-2.382113521735233
2008-01-25,-2.4307121911300484
2008-01-28,-2.4715659672708026
2008-01-29,-2.5098553362229308
2008-01-30,-2.538213313781953
2008-01-31,-2.5740724112970783
2008-02-01,-2.631838684370834
2008-02-04,-2.679972799973015
2008-02-05,-2.7461329768921248
2008-02-06,-2.8158990462252347
2008-02-07,-2.8790012326201677
2008-02-08,-2.9106653665586193
2008-02-11,-2.931741208173915
2008-02-12,-2.957701179074205
2008-02-13,-2.9822781240725846
2008-02-14,-2.9877853508894203
2008-02-15,-3.001812633115419
2008-02-19,-2.974057259932128
2008-02-20,-2.9413588763133007
2008-02-21,-2.9326946418242072
2008-02-22,-2.9145242618157665
2008-02-25,-2.8903863807957784
2008-02-26,-2.853131747393127
2008-02-27,-2.8227577571060407
2008-02-28,-2.7659489371684054
2008-02-29,-2.716299499799643
2008-03-03,-2.6649027325737644
2008-03-04,-2.635610774255286
2008-03-05,-2.562438009393254
2008-03-06,-2.4825146463512553
2008-03-07,-2.403484478530842
2008-03-10,-2.2971865440442594
2008-03-11,-2.500247353096912
2008-03-12,-2.3819060939879777
2008-03-13,-2.2634892677280787
2008-03-14,-2.144537220374629
2008-03-17,-2.0676746332467926
2008-03-18,-1.9547428745257784
2008-03-19,-1.8804449150383094
2008-03-20,-1.8333279942945473
2008-03-24,-1.7954289009390547
2008-03-25,-1.7517236581222595
2008-03-26,-1.6648905968775116
2008-03-27,-1.5674436779262146
2008-03-28,-1.4904362548697558
2008-03-31,-1.448082984245882
2008-04-01,-1.4007205328381422
2008-04-02,-1.3165003402879862
2008-04-03,-1.2482176638515274
2008-04-04,-1.1543326308133173
2008-04-07,-1.0307438192516902
2008-04-08,-0.9142898548504457
2008-04-09,-0.777442060426338
2008-04-10,-0.6437819489061534
2008-04-11,-0.511953637248768
2008-04-14,-0.36538905879710826
2008-04-15,-0.2010354314463585
2008-04-16,-0.02228741552076574
2008-04-17,0.14959605522644126
2008-04-18,0.337016751292216
2008-04-21,0.5311229177510031
2008-04-22,0.7386290146002166
2008-04-23,0.9294649254155714
2008-04-24,1.0970941947057697
2008-04-25,1.2836826984302965
2008-04-28,1.474569296363754
2008-04-29,1.638274444773838
2008-04-30,1.7783925513338052
2008-05-01,1.9061508349121654
2008-05-02,2.067559263499657
2008-05-05,2.2663487392909225
2008-05-06,2.47781554529678
2008-05-07,2.697437078863808
2008-05-08,2.916609481694163
2008-05-09,3.160892941898056
2008-05-12,3.3901207441466648
2008-05-13,3.6464546737028005
2008-05-14,3.8831530091713127
2008-05-15,4.124027349015373
2008-05-16,4.3811562503938735
2008-05-19,4.643453842616957
2008-05-20,4.9260906742520145
2008-05-21,5.254900659189879
2008-05-22,5.563892740022029
