Date,resid
2007-07-26,-7.938017152245359
2007-07-27,-8.211760243232499
2007-07-30,-8.466735581372085
2007-07-31,-8.733704748521767
2007-08-01,-8.948822286817787
2007-08-02,-9.176990240628594
2007-08-03,-9.457138445623007
2007-08-06,-9.70222474727727
2007-08-07,-9.960204562424256
2007-08-08,-10.203048235096121
2007-08-09,-10.455870364703216
2007-08-10,-10.61770339046642
2007-08-13,-10.787661820421084
2007-08-14,-10.899974213296332
2007-08-15,-10.979063132982457
2007-08-16,-10.92764020870063
2007-08-17,-10.858150180710865
2007-08-20,-10.853763090744874
2007-08-21,-10.81691127276778
2007-08-22,-10.75922427102547
2007-08-23,-10.704158732758255
2007-08-24,-10.659336242797394
2007-08-27,-10.663062315468789
2007-08-28,-10.648947885796247
2007-08-29,-10.603520779051607
2007-08-30,-10.59956387338185
2007-08-31,-10.653110971804576
2007-09-04,-10.734149358792768
2007-09-05,-10.840047501491519
2007-09-06,-10.91060157570315
2007-09-07,-11.006676259237224
2007-09-10,-11.112589595042074
2007-09-11,-11.249205218235158
2007-09-12,-11.43861219870466
2007-09-13,-11.67693409836264
2007-09-14,-11.913282684689182
2007-09-17,-12.171814520209875
2007-09-18,-12.439725543370876
2007-09-19,-12.722355062374008
2007-09-20,-13.032802193917643
2007-09-21,-13.329013281559863
2007-09-24,-13.591775317006078
2007-09-25,-13.871821697179184
2007-09-26,-14.141661500608848
2007-09-27,-14.374461913118106
2007-09-28,-14.628002914105341
2007-10-01,-14.889515020488664
2007-10-02,-15.134161664245902
2007-10-03,-15.35614991685327
2007-10-04,-15.55924912502981
2007-10-05,-15.773098852086305
2007-10-08,-15.999144832959876
2007-10-09,-16.19322773831708
2007-10-10,-16.420133931348275
2007-10-11,-16.667458081443794
2007-10-12,-16.84725476771375
2007-10-15,-17.066999564126334
2007-10-16,-17.251093678565862
2007-10-17,-17.417658543167065
2007-10-18,-17.572168737471273
2007-10-19,-17.763510229809455
2007-10-22,-17.940403329248998
2007-10-23,-18.080785027170876
2007-10-24,-18.23793774401246
2007-10-25,-18.376537331796325
2007-10-26,-18.58224697331576
2007-10-29,-18.810646797772723
2007-10-30,-19.026837607512118
2007-10-31,-19.308375742506037
2007-11-01,-19.564552992868883
2007-11-02,-19.779629014269723
2007-11-05,-19.984933226530767
2007-11-06,-20.17616661476643
2007-11-07,-20.392832823969425
2007-11-08,-20.622026828745728
2007-11-09,-20.8295719635234
2007-11-12,-20.94304935267115
2007-11-13,-20.964462323314542
2007-11-14,-21.01545147926714
2007-11-15,-21.05451686237053
2007-11-16,-21.07501049212567
2007-11-19,-21.096111176684076
2007-11-20,-21.05767016022544
2007-11-21,-20.968826560691127
2007-11-23,-20.85087303263017
2007-11-26,-20.74056977642407
2007-11-27,-20.673484883912714
2007-11-28,-20.619022510688524
2007-11-29,-20.617488590450616
2007-11-30,-20.67350251730131
2007-12-03,-20.70467517986823
2007-12-04,-20.781976989363773
2007-12-05,-20.878828988324514
2007-12-06,-21.00502908224089
2007-12-07,-21.182177573062674
2007-12-10,-21.303938808216913
